discovered_inc,discovered_agg
2532,2493
44231,44226
2738,2272
1964,1633
5213,4125
44522,44877
8348,8307
11063,10087
7262,7237
5726,5883
19289,19271
3906,3805
4197,4174
16369,16348
2126,1846
115267,115587
4534,4502
2429,2699
10263,8909
7752,7666
2423,2413
16591,16568
8053,8051
9886,8212
906,873
4576,3809
11703,9863
3344,1909
9168,9115
4031,4028
11445,8229
1526,1540
2980,2647
74016,73998
9009,9254
9101,7633
20565,16933
10792,8673
1627,1520
1297,1285
6135,5472
1427,1479
7171,7711
42297,40765
10045,9954
11739,11738
174564,174171
8355,8404
5049,3601
10442,10188
6327,5882
14844,14840
1165,1091
3619,3682
514,472
1559,1554
13186,13180
2371,2129
41086,41039
6667,6660
1401,1536
26926,26913
3935,3903
2122,2132
22630,22633
25614,25613
7837,7851
40677,40679
934,886
12373,12289
2473,2468
22010,21981
3414,3416
11974,11964
6447,5528
1434,1232
8809,8754
14454,14391
7516,4938
82266,82269
29663,29818
10467,10472
8907,8876
2315,2286
10063,10048
12562,9107
3730,3735
20811,19603
5402,5441
3381,3358
15487,15477
64628,64626
6949,7043
7667,5496
30688,30316
10768,11272
45031,45024
25402,25377
2701,2681
5310,5307
23076,21495
10100,10061
7249,7237
14583,14570
12553,12575
25494,25424
13515,13824
17844,17846
6287,6294
2162,2166
20563,20532
7977,6926
2911,2908
18816,18820
8170,8171
12465,12456
35880,35479
4946,4905
8795,8772
11467,11464
24531,24530
21289,21297
13156,13128
4235,4245
1869,1865
54117,54347
22194,22611
11848,11763
8637,8463
7789,7808
21077,21081
17668,17670
41988,41978
18743,18738
26564,26568
11119,11112
14719,14674
10852,10860
20137,20144
36028,36032
41441,40725
5633,5069
23844,23829
21365,21283
5103,5105
21348,21356
33747,33742
4860,4851
24807,24806
43341,43335
2372,2373
17314,17325
6365,6358
32113,32106
3943,3100
6196,6207
797,804
1740,1338
9557,9459
24846,24846
23315,22877
8134,8132
8183,8188
41478,41481
7170,7161
2264,2270
6687,6686
6199,6188
43117,43090
55216,55011
11317,11311
1768,1767
4061,4064
15854,15854
7037,7034
8821,8796
8053,8032
1757,1753
8700,8673
14225,12601
1908,1895
20453,20453
31484,31449
59609,59609
19814,18078
18215,17867
26470,26481
3952,3937
12776,12775
26559,26554
7191,7198
84558,84334
14276,14280
78480,78676
41946,42020
10595,10593
5817,5800
22595,22306
7121,7072
39818,39805
9799,9798
19852,19841
26164,26172
21423,21379
28359,27599
8186,8037
8359,8367
12165,11544
18524,18517
14621,14614
40824,40817
10465,10463
18094,18095
3357,3302
11245,11239
94009,94011
3132,3134
13084,12800
45507,45503
51281,51092
39936,39439
4267,4262
6828,6444
47741,47733
3733,3729
3613,3602
6028,6024
58548,58263
12735,12730
20586,20588
22433,22437
27190,27192
4759,4747
20679,20669
3648,3641
11558,11551
9446,9444
17006,17005
13562,13544
3411,3407
8739,8690
29395,29369
7959,7841
41631,41627
5757,5755
2776,2765
2311,2306
129177,129176
24031,24039
30436,30434
48010,48010
44236,43922
10248,10233
1649,1641
4811,4813
3182,2898
5609,5601
23241,23209
7279,7280
45243,45244
12733,12554
18655,18644
15479,15525
18849,18846
7636,7638
16108,16082
16197,16197
48463,48465
12871,12921
7084,7091
13020,12997
40554,40441
18181,18157
38999,39007
41109,41108
12527,12528
34173,34184
22494,22494
3147,3148
15588,15580
30027,30023
48914,48913
11211,11216
9984,9989
58531,58537
14598,14601
9602,9600
11956,11915
6938,6934
2545,2547
11745,11732
12939,12941
13218,13217
3557,3555
14428,14426
14791,14784
15362,15357
2640,2649
7056,7059
14525,14520
38873,38866
45498,45499
10625,10619
11428,11427
3770,3765
6344,6334
15034,15024
22552,22563
6573,6363
9792,9798
3032,3032
4650,4585
48309,48309
25517,25514
46473,46476
2967,2928
29158,29155
30340,30345
1927,1925
15511,15421
7493,7488
13095,13088
22371,22375
16446,16423
45226,45226
12481,12450
24565,24561
3268,3273
5775,5769
18032,18004
31734,31729
12608,12610
13233,13234
3593,3596
11947,11947
7485,7449
20293,20288
12580,12574
23081,23080
16220,16213
22625,22610
11087,11089
16410,16413
30515,30516
14979,14934
3250,3251
21536,21531
12576,12573
21079,21079
3830,3818
3031,3031
45314,45316
8677,8660
14971,14971
2862,2862
12183,12184
11744,11744
17468,17473
12723,12723
26375,26375
7002,6987
6494,6504
28017,28030
12752,12752
4570,4491
32655,32644
2031,2021
28494,28482
7498,7502
17238,17237
27128,27127
12282,12277
7445,7445
14187,14182
7436,7437
16871,16864
42418,42403
3804,3806
7299,7278
2328,2327
9335,9333
4096,4089
12158,12158
19398,19389
16668,16665
3464,3458
27136,27135
9010,9015
5549,5555
35223,35213
5076,5078
4109,4113
8027,8032
9736,9729
12746,12742
50529,50529
32395,32395
17480,17481
2450,2454
37872,37864
7663,7659
56787,56797
21609,21611
30716,30713
16553,16554
16905,16904
35758,35757
7435,7434
13633,13629
12321,12321
12790,12788
25211,25207
21214,21205
7101,7104
19988,19989
39605,39607
11281,11281
18331,18289
5426,5426
37558,37558
15137,15137
31437,31438
13674,13670
19024,19021
22683,22679
13153,13154
25045,25044
9027,9030
4880,4879
4055,4057
17621,17611
15416,15417
3275,3279
19915,19913
49023,49025
4518,4521
27180,27179
31304,31305
24735,24731
28865,28861
1824,1820
16557,16556
4534,4531
8899,8899
28591,28588
7176,7177
18016,18015
14133,14131
19459,19459
5124,5124
23039,23039
5441,5438
65461,65451
3422,3369
5001,4760
15149,15151
5123,5124
24078,24069
25047,25044
17106,17116
33565,33553
37813,37784
35523,35511
48088,48092
27602,27606
3705,3719
59958,59949
12880,12861
61019,61008
33339,33319
5277,5255
105428,105420
4437,4433
41719,41602
2022,2031
21239,21289
11055,11059
7054,7066
64589,64590
13850,13807
45047,44944
6465,6469
80151,80156
18555,18528
61188,61168
3035,3041
4168,4163
13160,13157
78980,78963
12226,12217
39109,39099
11304,11271
8427,8390
18936,18925
44301,44301
39347,39342
41074,41076
43963,43945
21839,21719
17546,17500
11199,11203
96107,96057
28605,28603
7805,7816
14122,14048
34692,34687
18046,18047
52872,52881
12461,12410
55038,55033
41449,41453
56436,56349
22432,22407
19196,19180
27797,27787
17502,17282
28699,28698
82085,82081
4027,3998
6774,6777
6762,6763
28555,28559
10189,10184
5855,5803
67948,67927
8098,8095
60477,60466
39240,39250
36524,36505
28822,28828
4221,4224
3459,3466
7143,7147
16069,16039
63366,63363
12143,12005
23523,23522
12266,12262
22925,22931
28050,28035
23128,23130
43074,43091
8037,8039
16010,16013
