surely_inc,surely_agg,border_inc,border_agg,surplus_inc,surplus_agg
0,0,25706,23427,0,0
2117,2117,202,190,0,0
0,0,1865,586,0,0
0,0,49073,50028,0,0
0,0,789,778,0,0
59726,59726,208,189,0,0
4274,4274,272,270,0,0
127,127,732,657,0,0
171745,171745,551,275,0,0
0,0,11372,8395,0,0
0,0,2318,2204,0,0
38888,38888,2635,2274,0,0
0,0,2491,2446,0,0
18093,18093,1075,995,0,0
33014,33014,41621,40167,0,0
0,0,26172,26529,0,0
18166,18166,545,537,0,0
0,0,1680,1632,0,0
0,0,3614,2716,0,0
0,0,844,426,0,0
0,0,1598,2959,0,0
0,0,24966,23463,0,0
0,0,3367,3325,0,0
5868,5868,1007,613,0,0
0,0,520,447,0,0
0,0,1132,673,0,0
185442,185442,254,203,0,0
0,0,622,426,0,0
36156,36156,401,390,0,0
0,0,959,945,0,0
27581,27581,164,306,0,0
0,0,897,871,0,0
0,0,2682,1716,0,0
5987,5987,238,227,0,0
0,0,40014,36720,0,0
145289,145289,552,545,0,0
0,0,1136,948,0,0
118643,118643,144,127,0,0
22402,22402,14778,10946,0,0
0,0,467,322,0,0
114691,114691,136,136,0,0
0,0,2635,1871,0,0
29238,29238,1498,1272,0,0
0,0,8826,9757,0,0
0,0,913,995,0,0
17844,17844,483,404,0,0
0,0,116931,118129,0,0
0,0,26575,27572,0,0
36858,36858,13131,13569,0,0
28079,28079,152,143,0,0
2044,2044,269,252,0,0
0,0,1511,2039,0,0
67296,67296,993,687,0,0
0,0,15207,11301,0,0
17948,17948,2573,1633,0,0
0,0,38047,37380,0,0
0,0,1599,1142,0,0
0,0,5105,5138,0,0
0,0,13233,12614,0,0
40201,40201,386,485,0,0
0,0,20726,21443,0,0
0,0,22762,22705,0,0
182546,182546,66,61,0,0
14060,14060,291,261,0,0
136103,136103,112,230,0,0
3827,3827,266,203,0,0
29994,29994,204,223,0,0
0,0,642,953,0,0
0,0,38378,37981,0,0
264802,264802,264,250,0,0
0,0,1478,1334,0,0
10299,10299,27766,25626,0,0
29468,29468,738,703,0,0
78320,78320,1418,1293,0,0
24897,24897,1034,904,0,0
116301,116301,170,168,0,0
0,0,485,665,0,0
0,0,1523,1310,0,0
0,0,6238,6217,0,0
57924,57924,1930,1901,0,0
0,0,2069,1925,0,0
0,0,3586,1453,0,0
46890,46890,284,194,0,0
0,0,698,593,0,0
0,0,5420,5361,0,0
0,0,15207,13323,0,0
0,0,847,184,0,0
152869,152869,267,256,0,0
18481,18481,594,799,0,0
102519,102519,11922,11442,0,0
16781,16781,182,154,0,0
0,0,9194,8194,0,0
0,0,1201,749,0,0
42751,42751,323,301,0,0
0,0,636,590,0,0
37278,37278,196,171,0,0
0,0,646,640,0,0
0,0,23740,20977,0,0
0,0,16385,15983,0,0
101638,101638,134,141,0,0
0,0,3846,3175,0,0
36557,36557,119,111,0,0
0,0,5367,5962,0,0
112588,112588,13276,13063,0,0
138074,138074,193,158,0,0
60835,60835,179,166,0,0
0,0,429,418,0,0
0,0,5875,4650,0,0
0,0,589,2139,0,0
58479,58479,47170,46810,0,0
0,0,10507,8524,0,0
0,0,559,487,0,0
20437,20437,1042,909,0,0
104770,104770,2771,2585,0,0
0,0,6721,5310,0,0
0,0,3527,2446,0,0
0,0,7000,7223,0,0
114127,114127,173,146,0,0
0,0,1971,1416,0,0
104190,104190,355,275,0,0
0,0,730,605,0,0
0,0,6668,6659,0,0
0,0,548,458,0,0
0,0,413,323,0,0
0,0,1870,777,0,0
79890,79890,564,427,0,0
242,242,1109,916,0,0
8491,8491,7780,8973,0,0
16519,16519,666,1525,0,0
0,0,1311,1477,0,0
16404,16404,11585,10968,0,0
0,0,502,478,0,0
0,0,23020,26303,0,0
0,0,9549,10715,0,0
92601,92601,179,135,0,0
100849,100849,545,609,0,0
27365,27365,247,211,0,0
0,0,1475,519,0,0
65156,65156,11979,11647,0,0
13616,13616,346,317,0,0
31336,31336,892,1380,0,0
145620,145620,4887,4865,0,0
0,0,3365,3441,0,0
40390,40390,156,189,0,0
0,0,466,361,0,0
13756,13756,720,578,0,0
20008,20008,786,965,0,0
0,0,2156,632,0,0
0,0,15667,15406,0,0
0,0,17185,17662,0,0
33600,33600,321,315,0,0
0,0,8767,9455,0,0
5569,5569,1918,2161,0,0
