map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,explored_0,explored_1,explored_2,explored_3,explored_4,explored_5,pct_explored_1,pct_explored_2,pct_explored_3,pct_explored_4,pct_explored_5,elapsed_0,elapsed_1,elapsed_2,elapsed_3,elapsed_4,elapsed_5,pct_elapsed_1,pct_elapsed_2,pct_elapsed_3,pct_elapsed_4,pct_elapsed_5,changed_0,changed_1,changed_2,changed_3,changed_4,changed_5
lak400d,418,362,40385,0.27,10,244,243,1.0,413,377,376,376,376,376,0.91,0.91,0.91,0.91,0.91,0.3068244457244873,0.21785688400268555,0.18388581275939941,0.21985578536987305,0.2228717803955078,0.17891669273376465,0.71,0.6,0.72,0.73,0.58,,46,70,43,31,27
lak405d,1005,782,47365,0.06,2,94,93,0.99,325,325,325,325,325,325,1.0,1.0,1.0,1.0,1.0,0.08694839477539062,0.08893060684204102,0.0979623794555664,0.08395218849182129,0.14691543579101562,0.08395171165466309,1.02,1.13,0.97,1.69,0.97,,0,0,0,0,0
lak405d,1005,782,47365,0.06,4,862,773,0.9,14804,14662,12578,12578,12578,12578,0.99,0.85,0.85,0.85,0.85,10.60294246673584,10.049293041229248,9.214770078659058,9.359647274017334,9.251709938049316,9.650521039962769,0.95,0.87,0.88,0.87,0.91,,1466,11725,7810,5227,3927
lak405d,1005,782,47365,0.06,6,967,740,0.77,29989,25695,19343,19343,19343,19343,0.86,0.65,0.65,0.65,0.65,16.109806776046753,13.061521530151367,9.765451908111572,9.881387948989868,10.129247903823853,10.511030673980713,0.81,0.61,0.61,0.63,0.65,,1847,19005,12456,8469,6444
lak405d,1005,782,47365,0.06,8,1245,806,0.65,66198,56629,41923,41866,41642,38150,0.86,0.63,0.63,0.63,0.58,24.110265493392944,21.60167670249939,15.218327522277832,15.133376359939575,16.42262864112854,13.394369125366211,0.9,0.63,0.63,0.68,0.56,,1671,27565,14638,10012,8114
lak405d,1005,782,47365,0.06,10,541,386,0.71,35591,13099,7997,8000,8323,8504,0.37,0.22,0.22,0.23,0.24,13.86415147781372,4.678315162658691,2.6794707775115967,3.0262949466705322,2.645491361618042,3.0062713623046875,0.34,0.19,0.22,0.19,0.22,,889,7002,3846,2804,2220
London_1_1024,1024,1024,796301,0.76,2,225,202,0.9,2107,2107,2107,2107,2107,2107,1.0,1.0,1.0,1.0,1.0,0.8884923458099365,0.8555119037628174,0.8654882907867432,0.8455355167388916,0.8445138931274414,0.8585295677185059,0.96,0.97,0.95,0.95,0.97,,188,1879,932,625,465
London_1_1024,1024,1024,796301,0.76,4,592,535,0.9,41489,41058,34990,35607,35984,36139,0.99,0.84,0.86,0.87,0.87,33.49591636657715,33.69082307815552,30.627580404281616,32.03277039527893,29.977916479110718,31.856837272644043,1.01,0.91,0.96,0.89,0.95,,782,22197,12882,9535,7698
London_1_1024,1024,1024,796301,0.76,6,947,770,0.81,297581,251589,161909,161934,161934,166368,0.85,0.54,0.54,0.54,0.56,769.2238235473633,661.8909809589386,411.5815761089325,396.9209382534027,394.93800592422485,417.18334007263184,0.86,0.54,0.52,0.51,0.54,,1714,175678,110497,78021,61787
London_1_1024,1024,1024,796301,0.76,8,1169,1168,1.0,3021,2949,4859,4859,4859,4859,0.98,1.61,1.61,1.61,1.61,5.0431413650512695,4.865228176116943,5.932600498199463,5.495867967605591,5.7676942348480225,5.554791212081909,0.96,1.18,1.09,1.14,1.1,,345,6650,5641,7836,9312
London_1_1024,1024,1024,796301,0.76,10,172,171,0.99,834,710,575,575,575,575,0.85,0.69,0.69,0.69,0.69,0.3867614269256592,0.4107627868652344,0.3408203125,0.27487754821777344,0.29880809783935547,0.270845890045166,1.06,0.88,0.71,0.77,0.7,,813,8527,4784,3195,2400
maze512-16-5,511,511,246016,0.94,2,250,93,0.37,9853,9838,9769,9769,9769,9769,1.0,0.99,0.99,0.99,0.99,2.0178682804107666,1.9638609886169434,2.35267972946167,2.262712001800537,2.304671287536621,2.1727395057678223,0.97,1.17,1.12,1.14,1.08,,117,4295,2478,1647,1243
maze512-16-5,511,511,246016,0.94,4,771,286,0.37,63441,63182,50094,50106,50106,50106,1.0,0.79,0.79,0.79,0.79,28.44184708595276,28.715636730194092,25.3015878200531,24.719897031784058,25.779314756393433,25.20064663887024,1.01,0.89,0.87,0.91,0.89,,1054,44687,25751,17497,13382
maze512-16-5,511,511,246016,0.94,6,1410,493,0.35,160101,159565,139582,139576,139637,139758,1.0,0.87,0.87,0.87,0.87,113.98310256004333,107.80360865592957,107.37679767608643,108.06443691253662,105.54091191291809,107.85859775543213,0.95,0.94,0.95,0.93,0.95,,1981,116261,88565,60240,45968
maze512-16-5,511,511,246016,0.94,8,2142,581,0.27,252127,250719,200946,201297,201760,202833,0.99,0.8,0.8,0.8,0.8,157.13547039031982,155.89321064949036,129.00053668022156,127.30148100852966,128.26792430877686,129.58218550682068,0.99,0.82,0.81,0.82,0.82,,2888,195621,142472,95828,74094
maze512-16-5,511,511,246016,0.94,10,1669,458,0.27,166558,164022,155360,155351,155387,155364,0.98,0.93,0.93,0.93,0.93,100.74067640304565,102.45763206481934,98.79275941848755,102.41567516326904,103.9207980632782,100.93248176574707,1.02,0.98,1.02,1.03,1.0,,2215,152629,105135,70578,53156
maze512-2-0,511,511,174524,0.67,2,1336,217,0.16,60972,60942,60929,60929,60929,60929,1.0,1.0,1.0,1.0,1.0,13.8901207447052,13.642228126525879,15.543160915374756,15.714043617248535,15.443206787109375,15.614128589630127,0.98,1.12,1.13,1.11,1.12,,1451,49778,38050,25730,19229
maze512-2-0,511,511,174524,0.67,4,3484,317,0.09,116305,109459,109460,109463,109478,109505,0.94,0.94,0.94,0.94,0.94,21.03201723098755,19.542860746383667,38.97679924964905,38.01735520362854,39.61342692375183,39.325578927993774,0.93,1.85,1.81,1.88,1.87,,3815,91940,64562,49615,37157
maze512-2-0,511,511,174524,0.67,6,243,116,0.48,17897,17417,17411,17411,17411,17411,0.97,0.97,0.97,0.97,0.97,2.0738184452056885,1.8069496154785156,2.1697604656219482,1.7979722023010254,1.891937017440796,2.045853853225708,0.87,1.05,0.87,0.91,0.99,,336,3465,1843,1377,1020
maze512-2-0,511,511,174524,0.67,8,1218,31,0.03,8980,8855,8849,8849,8849,8849,0.99,0.99,0.99,0.99,0.99,0.48871564865112305,0.47472500801086426,0.4987318515777588,0.50272536277771,0.5746684074401855,0.510690450668335,0.97,1.02,1.03,1.18,1.04,,1275,7253,5225,3898,2876
maze512-2-0,511,511,174524,0.67,10,1744,297,0.17,36160,33114,33107,33107,33100,33100,0.92,0.92,0.92,0.92,0.92,4.186610460281372,3.9667394161224365,4.2585742473602295,4.8372626304626465,4.306559085845947,4.315539836883545,0.95,1.02,1.16,1.03,1.03,,1933,29964,15401,11463,8534
maze512-32-9,511,511,253792,0.97,2,1463,540,0.37,130250,130093,111051,111051,111051,111051,1.0,0.85,0.85,0.85,0.85,75.57196974754333,77.94759345054626,64.08652687072754,63.33393597602844,64.15445280075073,64.79207372665405,1.03,0.85,0.84,0.85,0.86,,1720,106731,76064,50737,38027
maze512-32-9,511,511,253792,0.97,4,2250,401,0.18,368958,248823,230591,234751,239447,246614,0.67,0.62,0.64,0.65,0.67,301.19870615005493,149.09709882736206,154.71086382865906,158.92548203468323,161.73686408996582,173.76203632354736,0.5,0.51,0.53,0.54,0.58,,3045,195680,156250,113346,92690
maze512-32-9,511,511,253792,0.97,6,595,96,0.16,57051,56200,37512,37512,37512,37512,0.99,0.66,0.66,0.66,0.66,33.93768525123596,32.8992338180542,23.165786504745483,22.582151412963867,24.11825442314148,23.138838052749634,0.97,0.68,0.67,0.71,0.68,,603,29966,18540,12524,9508
maze512-32-9,511,511,253792,0.97,8,1135,636,0.56,258646,257362,176473,176950,177427,178102,1.0,0.68,0.68,0.69,0.69,188.8664150238037,186.34184622764587,152.55803728103638,158.54668068885803,160.82738184928894,156.69075679779053,0.99,0.81,0.84,0.85,0.83,,1597,88963,49238,35139,28490
maze512-32-9,511,511,253792,0.97,10,689,326,0.47,395206,391641,326804,317554,315880,316000,0.99,0.83,0.8,0.8,0.8,322.9969491958618,311.1367390155792,276.8403377532959,250.59520530700684,249.87664008140564,257.15156745910645,0.96,0.86,0.78,0.77,0.8,,1793,80144,57651,50661,50946
maze512-4-6,511,511,209266,0.8,2,3910,259,0.07,116142,116139,116136,116136,116136,116136,1.0,1.0,1.0,1.0,1.0,21.635671377182007,21.47478723526001,21.345858097076416,21.91349768638611,22.124432802200317,22.67108130455017,0.99,0.99,1.01,1.02,1.05,,4548,110590,75151,50015,37378
maze512-4-6,511,511,209266,0.8,4,2750,309,0.11,59831,59729,59688,59715,59743,59776,1.0,1.0,1.0,1.0,1.0,10.051291942596436,8.538132429122925,17.657934188842773,18.390542030334473,17.55901026725769,18.239624738693237,0.85,1.76,1.83,1.75,1.81,,3272,40246,30392,20405,15347
maze512-4-6,511,511,209266,0.8,6,1014,195,0.19,42703,42731,42673,42673,42673,42673,1.0,1.0,1.0,1.0,1.0,8.708031177520752,9.586533069610596,11.745284795761108,10.59494400024414,10.564958572387695,11.774292945861816,1.1,1.35,1.22,1.21,1.35,,1335,34397,23875,16048,12284
maze512-4-6,511,511,209266,0.8,8,5051,326,0.06,123246,123076,119372,119409,119467,119531,1.0,0.97,0.97,0.97,0.97,22.165388822555542,21.00405192375183,19.937657356262207,21.92049479484558,21.148985624313354,22.042438983917236,0.95,0.9,0.99,0.95,0.99,,5918,111673,89666,59839,44818
maze512-4-6,511,511,209266,0.8,10,3864,473,0.12,210773,210241,199500,199718,199480,199476,1.0,0.95,0.95,0.95,0.95,67.84430956840515,69.9891107082367,69.26354885101318,69.3944878578186,68.35907292366028,66.96984577178955,1.03,1.02,1.02,1.01,0.99,,4639,194772,128613,91307,68354
maze512-8-3,511,511,232925,0.89,2,2997,456,0.15,109859,109784,109273,109273,109273,109273,1.0,0.99,0.99,0.99,0.99,29.499166011810303,28.622690439224243,27.106539011001587,27.548303842544556,28.168931007385254,28.2899010181427,0.97,0.92,0.93,0.95,0.96,,3784,105905,69450,46481,34766
maze512-8-3,511,511,232925,0.89,4,707,266,0.38,42861,42792,33407,33474,33529,33586,1.0,0.78,0.78,0.78,0.78,10.996749639511108,11.703312397003174,13.1874840259552,13.86911392211914,12.647796869277954,12.963631629943848,1.06,1.2,1.26,1.15,1.18,,818,24752,22304,14953,11238
maze512-8-3,511,511,232925,0.89,6,928,227,0.24,70440,46481,45740,45740,45740,45740,0.66,0.65,0.65,0.65,0.65,23.25274634361267,16.241722345352173,16.32769751548767,15.098390579223633,15.096397876739502,15.595100164413452,0.7,0.7,0.65,0.65,0.67,,1112,44017,24069,16187,12179
maze512-8-3,511,511,232925,0.89,8,3546,437,0.12,343371,342480,341984,341984,341985,341985,1.0,1.0,1.0,1.0,1.0,155.43243718147278,158.29686403274536,332.8094391822815,338.5541772842407,345.98190784454346,340.85382056236267,1.02,2.14,2.18,2.23,2.19,,4699,226058,158918,107512,81457
