index,domain,name,rows,cols,k,dist_start_goals,nrm_dist_start_goals,dist_between_goals,dijkstra_explored,dijkstra_elapsed,incremental_explored,incremental_elapsed,aggregative_explored,aggregative_elapsed
,Cities,London_1_1024,1024,1024,100,801.02,39.15,14.99,509460,35,91703,10,91503,32
,Cities,London_1_1024,1024,1024,20,825.5,40.35,12.28,345070,23,1575,1,918,1
,Cities,London_1_1024,1024,1024,20,836.5,40.88,13.05,570009,39,38590,4,38602,5
,Cities,London_1_1024,1024,1024,40,824.85,40.32,12.96,345070,23,2269,2,1610,3
,Cities,London_1_1024,1024,1024,40,835.65,40.84,12.3,570009,39,38611,4,38625,7
,Cities,London_1_1024,1024,1024,60,824.75,40.31,12.7,345070,22,2287,3,1644,6
,Cities,London_1_1024,1024,1024,60,835.2,40.82,12.19,570009,39,38625,5,38640,10
,Cities,London_1_1024,1024,1024,80,825.24,40.33,12.51,345070,23,2298,5,2317,14
,Cities,London_1_1024,1024,1024,80,835.29,40.83,12.21,570009,38,38646,5,38667,13
,Cities,London_1_1024,1024,1024,100,825.02,40.32,12.72,345072,22,2308,6,2332,20
,Cities,London_1_1024,1024,1024,100,836.07,40.86,12.41,570015,39,38658,5,38680,16
,Cities,London_1_1024,1024,1024,20,1136.65,55.55,15.16,728848,48,287183,25,287179,37
,Cities,London_1_1024,1024,1024,20,1127.95,55.13,14.05,741806,51,257007,23,256981,34
,Cities,London_1_1024,1024,1024,40,1135.95,55.52,15.06,729043,48,287333,26,287365,51
,Cities,London_1_1024,1024,1024,40,1127.78,55.12,13.91,741810,49,257064,23,257019,45
,Cities,London_1_1024,1024,1024,60,1134.65,55.46,14.43,729056,49,289856,26,289892,65
,Cities,London_1_1024,1024,1024,60,1127.22,55.09,14.21,741810,50,257106,24,257104,58
,Cities,London_1_1024,1024,1024,80,1134.54,55.45,14.88,729056,48,289875,28,289942,79
,Cities,London_1_1024,1024,1024,80,1126.58,55.06,14.4,741811,49,257145,24,257088,72
,Cities,London_1_1024,1024,1024,100,1135.15,55.48,14.86,729056,47,289885,28,289980,93
,Cities,London_1_1024,1024,1024,100,1126.23,55.05,14.36,741812,48,257169,25,257105,85
,Cities,London_1_1024,1024,1024,20,462.4,22.6,14.33,140922,8,12137,1,10225,1
,Cities,London_1_1024,1024,1024,20,477.95,23.36,15.18,336123,22,3919,0,3892,0
,Cities,London_1_1024,1024,1024,40,461.43,22.55,13.77,140922,8,12167,2,10970,3
,Cities,London_1_1024,1024,1024,40,479.85,23.45,14.45,336123,23,3953,1,3938,1
,Cities,London_1_1024,1024,1024,60,462.1,22.59,13.57,141461,8,12196,2,10993,4
,Cities,London_1_1024,1024,1024,60,479.32,23.43,14.45,337212,22,3976,1,3980,2
,Cities,London_1_1024,1024,1024,80,463.32,22.65,14.2,141467,9,12218,3,11410,7
,Cities,London_1_1024,1024,1024,80,478.2,23.37,14.32,337212,23,3995,1,4015,3
,Cities,London_1_1024,1024,1024,100,463.61,22.66,14.3,141467,9,12249,4,11440,9
,Cities,London_1_1024,1024,1024,100,478.36,23.38,14.2,337224,23,4013,2,4031,5
,Cities,London_1_1024,1024,1024,20,1095.35,53.54,14.1,763352,53,15663,2,12826,2
,Cities,London_1_1024,1024,1024,20,1115,54.5,13.11,531420,35,1925,0,1775,0
,Cities,London_1_1024,1024,1024,40,1098.12,53.67,14.3,764135,52,15703,3,13554,4
,Cities,London_1_1024,1024,1024,40,1115.2,54.51,13.52,531427,36,1961,1,2107,2
,Cities,London_1_1024,1024,1024,60,1099.05,53.72,14.12,764135,55,15738,3,13587,7
,Cities,London_1_1024,1024,1024,60,1116.13,54.55,13.09,531427,35,1996,2,2131,4
,Cities,London_1_1024,1024,1024,80,1098.21,53.68,14.11,764135,52,15752,3,12231,8
,Cities,London_1_1024,1024,1024,80,1115.53,54.52,13.79,531427,35,2007,2,2016,5
,Cities,London_1_1024,1024,1024,100,1097.75,53.65,14.13,764135,54,15848,4,12019,10
,Cities,London_1_1024,1024,1024,100,1114.64,54.48,13.96,531427,35,2027,3,2205,8
,Cities,London_1_1024,1024,1024,20,1278.7,62.5,14.08,728267,49,4894,1,3634,1
,Cities,London_1_1024,1024,1024,20,1290.75,63.09,13.26,721355,50,268076,28,269245,40
,Cities,London_1_1024,1024,1024,40,1279,62.51,14.58,728283,49,4945,2,3688,3
,Cities,London_1_1024,1024,1024,40,1291.45,63.12,12.54,721355,49,268111,28,269286,52
,Cities,London_1_1024,1024,1024,60,1278.75,62.5,14.21,728283,49,4966,3,3715,5
,Cities,London_1_1024,1024,1024,60,1290.87,63.09,12.85,721355,50,268149,30,269306,67
,Cities,London_1_1024,1024,1024,80,1277.9,62.46,14.31,728283,49,4984,4,3802,8
,Cities,London_1_1024,1024,1024,80,1290.55,63.08,12.66,721355,49,268322,30,269477,81
,Cities,London_1_1024,1024,1024,100,1277.27,62.43,14.38,728283,50,4989,4,3895,13
,Cities,London_1_1024,1024,1024,100,1289.98,63.05,12.57,721355,49,268331,31,269909,95
,Cities,London_1_1024,1024,1024,20,291.6,14.25,14.2,147859,9,400,0,387,0
,Cities,London_1_1024,1024,1024,20,293.8,14.36,12.74,142898,9,919,0,917,0
,Cities,London_1_1024,1024,1024,40,290.3,14.19,14.86,147859,9,429,0,416,0
,Cities,London_1_1024,1024,1024,40,298.12,14.57,13.33,146892,9,968,0,1234,2
,Cities,London_1_1024,1024,1024,60,289.93,14.17,13.71,147859,9,465,0,445,1
,Cities,London_1_1024,1024,1024,60,297.57,14.54,14.41,146892,9,1275,1,1530,4
,Cities,London_1_1024,1024,1024,80,289.36,14.14,14.37,147859,9,496,1,489,2
,Cities,London_1_1024,1024,1024,80,297.34,14.53,14.07,146892,10,1298,2,1552,6
,Cities,London_1_1024,1024,1024,100,289.19,14.13,14.67,147859,9,518,1,493,2
,Cities,London_1_1024,1024,1024,100,297.63,14.55,14.19,146892,9,1324,2,1580,8
,Cities,London_1_1024,1024,1024,20,521.75,25.5,14.67,252652,16,27892,2,27133,3
,Cities,London_1_1024,1024,1024,20,540,26.39,14.88,296147,20,28298,2,28298,3
,Cities,London_1_1024,1024,1024,40,520.98,25.46,14.2,252652,16,27976,3,27250,5
,Cities,London_1_1024,1024,1024,40,541.08,26.45,14.19,296147,19,28872,2,28874,5
,Cities,London_1_1024,1024,1024,60,520,25.42,14.27,252652,16,27998,3,27482,7
,Cities,London_1_1024,1024,1024,60,541.32,26.46,13.95,296147,20,28927,2,28948,7
,Cities,London_1_1024,1024,1024,80,520.75,25.45,14.17,252652,16,28240,3,27760,10
,Cities,London_1_1024,1024,1024,80,542.17,26.5,14.24,296151,19,29130,3,29144,9
,Cities,London_1_1024,1024,1024,100,520.61,25.45,14.35,252652,17,28251,4,27781,13
,Cities,London_1_1024,1024,1024,100,541.5,26.47,14.45,296151,21,29235,4,29248,11
,Cities,Moscow_1_1024,1024,1024,20,532.85,26.04,14.75,471542,32,81301,6,81136,9
,Cities,Moscow_1_1024,1024,1024,20,533.8,26.09,13.74,247112,15,40065,3,40203,5
,Cities,Moscow_1_1024,1024,1024,40,532.48,26.03,14.8,471545,32,81344,7,81284,14
,Cities,Moscow_1_1024,1024,1024,40,535.58,26.18,14.59,247673,16,41268,3,41552,8
