map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,backward_0,backward_1,backward_2,forward,bi,iterative
maze512-32-9,511,511,253792,0.97,4,2250,401,0.18,368958,248823,230591,182193,182167,728668
maze512-32-9,511,511,253792,0.97,6,595,96,0.16,57051,56200,37512,253792,33822,169166
maze512-32-9,511,511,253792,0.97,8,1135,636,0.56,258646,257362,176473,253792,104870,836439
maze512-32-9,511,511,253792,0.97,10,689,326,0.47,395206,391641,326804,253792,62531,611590
maze512-4-6,511,511,209266,0.8,2,3910,259,0.07,116142,116139,116136,207803,184664,370253
maze512-4-6,511,511,209266,0.8,4,2750,309,0.11,59831,59729,59688,209266,107287,415759
maze512-4-6,511,511,209266,0.8,6,1014,195,0.19,42703,42731,42673,209266,19132,137218
maze512-4-6,511,511,209266,0.8,8,5051,326,0.06,123246,123076,119372,209266,198727,1558130
maze512-4-6,511,511,209266,0.8,10,3864,473,0.12,210773,210241,199500,209266,152285,1498267
maze512-8-3,511,511,232925,0.89,2,2997,456,0.15,109859,109784,109273,232925,187522,372770
maze512-8-3,511,511,232925,0.89,4,707,266,0.38,42861,42792,33407,232925,50227,199607
maze512-8-3,511,511,232925,0.89,6,928,227,0.24,70440,46481,45740,232925,32000,189470
maze512-8-3,511,511,232925,0.89,8,3546,437,0.12,343371,342480,341984,232925,89447,724631
maze512-8-3,511,511,232925,0.89,10,2433,564,0.23,149163,149054,149331,232925,165103,1663162
Moscow_1_1024,1024,1024,796072,0.76,2,446,375,0.84,19320,19019,12576,16361,16356,33260
Moscow_1_1024,1024,1024,796072,0.76,4,754,753,1,3248,3249,3423,796043,13167,52661
Moscow_1_1024,1024,1024,796072,0.76,6,537,504,0.94,27727,20499,13063,796043,23679,140458
Moscow_1_1024,1024,1024,796072,0.76,8,867,802,0.93,297649,235346,172932,796043,25285,201925
Moscow_1_1024,1024,1024,796072,0.76,10,651,582,0.89,64920,44476,19809,796043,27387,267032
NewYork_0_1024,1024,1024,792676,0.76,2,1064,933,0.88,144289,143028,104940,114838,114835,231197
NewYork_0_1024,1024,1024,792676,0.76,4,606,597,0.99,135507,135408,38143,5392,5364,21647
NewYork_0_1024,1024,1024,792676,0.76,6,440,439,1,764,764,764,10825,10800,63454
NewYork_0_1024,1024,1024,792676,0.76,8,192,191,0.99,582,584,666,217,183,1466
NewYork_0_1024,1024,1024,792676,0.76,10,540,539,1,2176,2179,5205,581,527,5272
orz700d,796,896,95600,0.13,2,283,196,0.69,7463,7332,4103,1747,1741,3509
orz700d,796,896,95600,0.13,4,495,282,0.57,36703,28292,14857,6897,6884,28146
orz700d,796,896,95600,0.13,6,1090,641,0.59,40534,40395,32593,95600,27215,164055
orz700d,796,896,95600,0.13,8,399,312,0.78,12187,10143,4971,95600,11251,90865
orz700d,796,896,95600,0.13,10,549,548,1,635,638,632,95600,3105,29032
orz900d,633,1397,96603,0.11,2,834,333,0.4,38417,37901,22741,27849,27844,54840
orz900d,633,1397,96603,0.11,4,421,288,0.68,11100,8033,5594,96603,7270,29397
orz900d,633,1397,96603,0.11,6,935,672,0.72,91490,72676,34783,29213,29191,175156
orz900d,633,1397,96603,0.11,8,424,307,0.72,15279,13632,8528,96603,8416,69802
orz900d,633,1397,96603,0.11,10,55,54,0.98,207,197,209,108,77,563
ost100d,771,777,137375,0.23,2,1005,594,0.59,121601,121409,87249,37762,37755,75684
ost100d,771,777,137375,0.23,4,336,327,0.97,10774,10771,10762,137375,4994,18929
ost100d,771,777,137375,0.23,6,475,474,1,1178,1164,1164,2506,2472,27212
ost100d,771,777,137375,0.23,8,562,409,0.73,41164,34353,23097,137375,28198,228560
ost100d,771,777,137375,0.23,10,675,672,1,93068,89661,18539,5722,5687,58119
Paris_0_1024,1024,1024,795749,0.76,2,99,98,0.99,180,180,180,102,96,194
Paris_0_1024,1024,1024,795749,0.76,4,418,417,1,560,560,560,511,487,1819
Paris_0_1024,1024,1024,795749,0.76,6,740,349,0.47,603808,599012,320271,33751,33721,202626
Paris_0_1024,1024,1024,795749,0.76,8,294,293,1,600,540,599,793104,315,2590
Paris_0_1024,1024,1024,795749,0.76,10,743,678,0.91,187582,152606,30589,793104,34150,356648
random512-10-0,512,512,235900,0.9,2,106,103,0.97,437,437,437,235900,410,719
random512-10-0,512,512,235900,0.9,4,436,435,1,4706,4705,4701,705,685,3419
random512-10-0,512,512,235900,0.9,6,118,117,0.99,1147,1147,1147,145,111,1107
random512-10-0,512,512,235900,0.9,8,245,242,0.99,3563,3563,3563,235900,1784,8196
random512-10-0,512,512,235900,0.9,10,274,259,0.95,7970,6998,4929,235900,3045,30214
random512-15-1,512,512,222683,0.85,2,117,116,0.99,735,731,731,127,119,243
random512-15-1,512,512,222683,0.85,4,469,468,1,4394,4394,4394,2383,2365,11850
random512-15-1,512,512,222683,0.85,6,685,684,1,4227,4211,4211,222683,12522,122088
random512-15-1,512,512,222683,0.85,8,305,302,0.99,9469,10291,6491,222683,3555,29561
random512-15-1,512,512,222683,0.85,10,73,72,0.99,366,368,364,222683,75,730
random512-20-2,512,512,209231,0.8,2,40,39,0.97,62,62,62,40,33,78
random512-20-2,512,512,209231,0.8,4,644,641,1,1890,1889,1889,209231,61438,206750
random512-20-2,512,512,209231,0.8,6,293,286,0.98,16490,16102,13101,209231,4387,32317
random512-20-2,512,512,209231,0.8,8,69,68,0.99,249,206,242,209231,134,875
random512-20-2,512,512,209231,0.8,10,124,123,0.99,548,571,539,209231,142,5670
random512-25-3,512,512,195275,0.74,2,536,453,0.85,43969,43274,34706,22089,22085,44800
random512-25-3,512,512,195275,0.74,4,391,332,0.85,22431,22017,17063,10969,10933,43986
random512-25-3,512,512,195275,0.74,6,124,103,0.83,2156,2078,1976,195275,1522,10447
random512-25-3,512,512,195275,0.74,8,544,541,0.99,43135,43126,34835,195275,11991,79785
random512-25-3,512,512,195275,0.74,10,739,738,1,2573,3429,2565,195275,15643,153279
random512-30-4,512,512,180132,0.69,2,535,532,0.99,2331,2331,2327,5567,5562,16110
random512-30-4,512,512,180132,0.69,4,394,383,0.97,15601,15569,11063,180132,3331,26893
random512-30-4,512,512,180132,0.69,6,404,331,0.82,29206,29388,21738,180132,13876,83144
random512-30-4,512,512,180132,0.69,8,106,91,0.86,1831,1763,1710,180132,964,8071
random512-30-4,512,512,180132,0.69,10,262,253,0.97,4748,4645,4031,180132,2463,35742
